날짜,종목명,종목코드,lag_return_1,lag_return_2,lag_return_3,ma5_ma20_ratio,ma10_ma60_ratio,vol_change,vol_ma5_ratio,high_low_range,volatility_5,rsi_14,원달러환율,CD91일금리,국고채3년금리,회사채3년AA금리,usd_krw_change,cd_rate_change,credit_spread,debt_ratio,roe,operating_margin,revenue_growth,target
2022-01-04,SK하이닉스,660,-1.9083969465648856,3.149606299212598,-0.392156862745098,0.030679767395227486,0.1270654767164443,-0.04226203019237684,0.8836862855613343,0.019455252918287938,1.8908386937526638,65.30612244897961,1190.8,1.3,1.868,2.474,0.004470687473639767,0.0,0.6060000000000001,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,0
2022-01-05,SK하이닉스,660,0.0,-1.9083969465648856,3.149606299212598,0.025825825825825932,0.12232935728730099,1.0469902431254243,1.5561499532606464,0.058365758754863814,2.1636136616172705,54.0,1194.3,1.3,1.913,2.506,0.002939200537453779,0.0,0.5929999999999997,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,0
2022-01-06,SK하이닉스,660,-2.3346303501945527,0.0,-1.9083969465648856,0.020579420579420526,0.11517820684827629,-0.4975600657805834,0.7853854770442749,0.03187250996015936,2.1636840963615973,51.99999999999999,1198.2,1.3,2.013,2.59,0.0032655111780959256,0.0,0.577,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,1
2022-01-07,SK하이닉스,660,-0.398406374501992,-2.3346303501945527,0.0,0.012769353551476348,0.10936955764541967,-0.12224978251644247,0.7495038785758056,0.02,1.5780638185459255,60.0,1199.6,1.3,2.015,2.593,0.001168419295610068,0.0,0.5779999999999998,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,0
2022-01-10,SK하이닉스,660,1.6,-0.398406374501992,-2.3346303501945527,0.004780876494023811,0.10214703968770333,0.054761921508055256,0.8028031848495276,0.031496062992125984,1.5906227841688059,57.692307692307686,1202.4,1.3,2.058,2.624,0.002334111370456915,0.0,0.5660000000000003,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,1
2022-01-11,SK하이닉스,660,-1.968503937007874,1.6,-0.398406374501992,0.0013908205841446364,0.09897227739873915,0.14774163377736915,0.907203551681027,0.0321285140562249,2.2321782120755893,56.86274509803922,1200.0,1.3,2.038,2.611,-0.001996007984031989,0.0,0.5730000000000004,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,1
2022-01-12,SK하이닉스,660,2.8112449799196786,-1.968503937007874,1.6,0.0031695721077653616,0.09498151385744169,-0.10271151239003262,0.9891413637653163,0.02734375,1.8346400123492521,53.19148936170213,1195.2,1.31,1.998,2.576,-0.0040000000000000036,0.010000000000000009,0.5780000000000001,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,1
2022-01-13,SK하이닉스,660,0.390625,2.8112449799196786,-1.968503937007874,0.007905138339920903,0.09218522639732951,0.1699832271729933,1.1301873719730182,0.01556420233463035,1.7668905237851185,54.166666666666664,1189.9,1.35,1.953,2.537,-0.004434404283801818,0.040000000000000036,0.5839999999999999,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,0
2022-01-14,SK하이닉스,660,0.7782101167315175,0.390625,2.8112449799196786,0.008482935490234711,0.08506106219823906,-0.09295897193059455,0.998011732630724,0.023166023166023165,1.7906275943042422,51.020408163265316,1188.2,1.43,2.044,2.6,-0.0014286914866795675,0.07999999999999985,0.556,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,0
2022-01-17,SK하이닉스,660,-0.7722007722007722,0.7782101167315175,0.390625,0.01043512502461108,0.07941446856657941,-0.01041343913277848,0.9731297868115518,0.027237354085603113,1.5642438712207476,52.08333333333333,1187.6,1.44,2.148,2.699,-0.0005049654940246784,0.010000000000000009,0.5509999999999997,0.5498445773345744,0.15462332221458588,0.28862737881982403,0.34787550432724745,0
