종목명,종목코드,corp_code,DART회사명,최종변경일자
삼성전자,005930,00126380,삼성전자,20251201
SK하이닉스,000660,00164779,SK하이닉스,20240328
DB하이텍,000990,00160843,DB하이텍,20260304
한미반도체,042700,00161383,한미반도체,20240328
리노공업,058470,00369657,리노공업,20230216
ISC,095340,00572905,ISC,20260327
이오테크닉스,039030,00246417,이오테크닉스,20230220
원익IPS,240810,01135941,원익IPS,20240219
주성엔지니어링,036930,00252135,주성엔지니어링,20250922
